name,code,uri
Austria,at,http://publications.europa.eu/resource/authority/country/AUT
Belgium,be,http://publications.europa.eu/resource/authority/country/BEL
Bulgaria,bg,http://publications.europa.eu/resource/authority/country/BGR
Croatia,hr,http://publications.europa.eu/resource/authority/country/HRV
Cyprus,cy,http://publications.europa.eu/resource/authority/country/CYP
Czech Republic,cz,http://publications.europa.eu/resource/authority/country/CZE
Denmark,dk,http://publications.europa.eu/resource/authority/country/DNK
Estonia,ee,http://publications.europa.eu/resource/authority/country/EST
Finland,fi,http://publications.europa.eu/resource/authority/country/FIN
France,fr,http://publications.europa.eu/resource/authority/country/FRA
Germany,de,http://publications.europa.eu/resource/authority/country/DEU
Greece,gr,http://publications.europa.eu/resource/authority/country/GRC
Hungary,hu,http://publications.europa.eu/resource/authority/country/HUN
Ireland,ie,http://publications.europa.eu/resource/authority/country/IRL
Italy,it,http://publications.europa.eu/resource/authority/country/ITA
Latvia,lv,http://publications.europa.eu/resource/authority/country/LVA
Lithuania,lt,http://publications.europa.eu/resource/authority/country/LTU
Luxembourg,lu,http://publications.europa.eu/resource/authority/country/LUX
Malta,mt,http://publications.europa.eu/resource/authority/country/MLT
Netherlands,nl,http://publications.europa.eu/resource/authority/country/NLD
Poland,pl,http://publications.europa.eu/resource/authority/country/POL
Portugal,pt,http://publications.europa.eu/resource/authority/country/PRT
Romania,ro,http://publications.europa.eu/resource/authority/country/ROU
Slovakia,sk,http://publications.europa.eu/resource/authority/country/CSK
Slovenia,si,http://publications.europa.eu/resource/authority/country/SVN
Spain,es,http://publications.europa.eu/resource/authority/country/ESP
Sweden,se,http://publications.europa.eu/resource/authority/country/SWE
